StockCode,Month,MonthlySales
85123A,10,4552.740000000001
POST,1,5109.0
85099B,10,9763.060000000005
84879,2,2620.909999999999
POST,10,7993.5
POST,12,7190.0
47566,11,3715.7099999999996
85123A,1,14962.049999999996
85123A,3,5262.499999999999
84879,9,4866.639999999997
47566,9,4387.0
POST,6,5510.02
M,10,21183.63
M,12,666.27
84879,3,3997.9799999999987
85123A,5,10700.419999999995
47566,3,6129.150000000001
23166,7,826.94
POST,9,5894.5
23166,10,283.67
47566,4,7278.450000000006
22423,4,12721.5
23084,6,3005.120000000001
47566,12,1258.8
M,8,2989.54
22423,2,9559.649999999998
22423,1,10765.499999999998
84879,11,8193.550000000001
M,11,2986.32
85099B,8,9697.440000000002
M,5,4302.91
85099B,4,4141.779999999999
22423,10,11895.149999999996
85099B,5,6585.200000000003
M,2,425.33
M,7,1547.77
M,6,771.11
23084,5,2159.620000000001
23084,12,6875.199999999999
23166,11,708.1100000000001
85099B,9,7987.850000000002
POST,3,5325.0
85123A,4,9581.649999999998
85123A,11,13849.929999999993
M,3,4912.91
23166,9,397.26
POST,5,13358.75
23166,6,458.51
POST,11,10349.95
84879,6,2523.639999999999
22423,7,12173.999999999998
22423,12,22113.78
47566,1,1815.1499999999999
85099B,1,4542.750000000001
85099B,12,5639.600000000002
M,4,10108.5
47566,8,6306.050000000001
23166,8,486.09000000000003
84879,10,4358.229999999998
85099B,6,6628.42
22423,8,8921.7
22423,6,8216.349999999999
85099B,2,5191.050000000001
23843,12,168469.6
23084,8,3395.2000000000003
M,1,94.4
47566,5,13408.250000000004
84879,12,5652.049999999998
23084,7,435.20000000000005
POST,4,3409.95
47566,2,3476.8999999999996
23084,10,11955.349999999999
85123A,9,6777.2
47566,10,2432.4699999999993
47566,7,10311.150000000005
22423,9,8570.13
85099B,3,8496.880000000001
47566,6,8266.15
84879,4,3886.719999999999
85123A,8,5498.099999999999
85099B,7,5654.6
23166,5,869.0400000000001
84879,5,4977.239999999998
85123A,6,4401.9000000000015
23084,11,23190.40999999993
85123A,7,8295.119999999997
POST,7,5311.34
84879,7,2979.4699999999984
85123A,2,4912.650000000001
22423,3,14784.65
85123A,12,11753.189999999997
M,9,3431.2400000000002
85099B,11,10711.910000000005
22423,5,11503.599999999999
POST,2,3166.0
84879,8,9652.410000000005
22423,11,11038.739999999998
23084,9,235.14
84879,1,2704.189999999999
POST,8,5185.95
23166,12,203.51
23166,1,77183.6
